User,Chunk Size (tokens),Chunk Overlap Size (token overlap),Embedding Models,Vector Database,Memory Usage 1 (MB),Memory Usage 2 (MB),Memory Usage 3 (MB),Retrieval Quality (Query 1) (sec),Retrieval Quality (Query 2) (sec),Retrieval Quality (Query 3) (sec),Additional Notes 1,Additional Notes 2,Additional Notes 3,
,200,0,sentence-transformers/all-MiniLM-L6-v2,Redis,980,981,983,7.1204,5.9105,9.2483,Really good,Really good,Really good (not as descriptive),
,200,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,652,650,4.59,8.48,14.59,Good,Okay,Good,
,200,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,4.76,6.31,13.68,Good,Good,Good,
,200,50,sentence-transformers/all-MiniLM-L6-v2,Redis,976,978,980,7.3646,13.3628,11.1321,Really good,Really good (could have used less lines),Really good (needs more clarification),
,200,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,652,650,659,5.93,7.85,12.49,Good,Okay,Good,
,200,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,3.6,5.48,14.3,Good,Really good (good alternative options),,Really good
,200,100,sentence-transformers/all-MiniLM-L6-v2,Redis,983,983,983,6.9393,6.935,7.9246,Really good,Really good (good alternative options),Really good (not as descriptive),
,200,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,659,650,4.58,6.89,10.53,Good,Okay,Really good,
,200,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,4.16,7.74,9.45,Good,Really good,Really good,
,500,0,sentence-transformers/all-MiniLM-L6-v2,Redis,983,983,983,3.6614,8.1586,9.4013,Okay (not descriptive),Really good,Really good,
,500,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,650,651,4.35,5.94,14.2,Really good,Good,Really good,
,500,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,6.74,8.67,19.58,Really good,Good,Really good,
,500,50,sentence-transformers/all-MiniLM-L6-v2,Redis,983,982,983,4.8141,6.1764,9.9079,Really good,Really good,Okay (really clumpy),
,500,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,650,651,5.32,7.98,13.98,Good,Okay,Okay,
,500,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,3.26,8.2,14.78,Good,Good,Good,
,500,100,sentence-transformers/all-MiniLM-L6-v2,Redis,983,983,983,6.1595,6.9755,12.5164,Really good,Okay (not descriptive),Really good,
,500,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,655,650,2.53,6.98,15.43,Good,Good,Okay (not descriptive),
,500,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,2.57,6.34,13.47,Good,Really good,Good,
,1000,0,sentence-transformers/all-MiniLM-L6-v2,Redis,983,983,979,5.1594,7.6212,6.766,Really good,Okay (not descriptive),Okay (not descriptive),
,1000,0,sentence-transformers/all-MiniLM-L6-v2,Chroma,650,650,656,3.24,4.53,15.73,Good,Not good,Okay,
,1000,0,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,2.54,3.7,11.58,Good,Good,Good,
,1000,50,sentence-transformers/all-MiniLM-L6-v2,Redis,979,981,981,7.5686,7.8621,10.2193,Really good,Not good,Really good,
,1000,50,sentence-transformers/all-MiniLM-L6-v2,Chroma,653,650,650,4.89,11.1,14.32,Good,Okay,Okay,
,1000,50,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,3.73,6.62,13.43,Good,Really good,Really good,
,1000,100,sentence-transformers/all-MiniLM-L6-v2,Redis,982,982,982,6.9521,6.7464,12.1213,Really good,Really good,Really good,
,1000,100,sentence-transformers/all-MiniLM-L6-v2,Chroma,641,650,650,5.43,6.32,13.942,Good,Good,Okay,
,1000,100,sentence-transformers/all-MiniLM-L6-v2,Qdrant,150,150,150,3.43,5.69,10.05,Good,Okay ,Good,
,200,0,sentence-transformers/all-mpnet-base-v2,Redis,987,994,994,3.2159,7.4208,10.4907,Okay (not descriptive),Okay (really clumpy),Okay,
