groupname,over_allocation,time_conflicts,under_support,unwilling,unpreferred
branlily,3,0,0,1,2
branlily,2,0,1,3,0
branlily,2,0,0,1,3
branlily,2,0,3,0,1
branlily,1,0,0,3,2
branlily,1,0,2,1,2
branlily,1,0,0,5,0
branlily,5,0,0,1,1
branlily,0,0,4,1,1
branlily,0,0,1,3,2
branlily,0,0,1,5,0
branlily,2,0,1,2,1
branlily,4,0,2,0,0
branlily,4,0,1,0,1
branlily,1,0,1,2,2
branlily,0,0,0,4,2
branlily,0,0,3,2,1
branlily,1,0,2,2,1
branlily,1,0,4,1,0
branlily,0,0,1,4,1
branlily,3,0,1,2,0
branlily,2,0,0,2,2
branlily,0,0,3,3,0
branlily,1,0,1,0,4
branlily,3,0,0,0,3
branlily,1,0,5,0,0
branlily,0,0,1,0,5
branlily,1,0,3,2,0
branlily,1,0,3,0,2
branlily,1,0,1,4,0
branlily,3,0,2,0,1
branlily,2,0,1,1,2
branlily,2,0,0,4,0
branlily,2,0,2,1,1
branlily,0,0,5,1,0
branlily,0,0,0,6,0
branlily,0,0,3,1,2
branlily,1,0,1,1,3
branlily,0,0,0,2,4
branlily,0,0,2,1,3
branlily,0,0,0,3,3
branlily,1,0,0,2,3
branlily,0,0,2,0,4
branlily,0,0,2,2,2
branlily,0,0,2,3,1
branlily,3,0,1,1,1
branlily,2,0,4,0,0
branlily,0,0,1,2,3
branlily,3,0,2,1,0
branlily,2,0,2,0,2
branlily,2,0,2,2,0
branlily,1,0,3,1,1
branlily,2,0,1,0,3
branlily,2,0,0,3,1
branlily,1,0,2,3,0
branlily,1,0,1,3,1
branlily,0,0,6,0,0
branlily,3,0,0,2,1
branlily,0,0,5,0,1
branlily,5,0,0,2,0
branlily,1,0,2,0,3
branlily,1,0,0,4,1
branlily,0,0,3,0,3
branlily,3,0,0,3,0
branlily,0,0,4,2,0
branlily,3,0,3,0,0
branlily,0,0,2,4,0
branlily,1,0,0,0,5
branlily,3,0,1,0,2
branlily,0,0,4,0,2
branlily,4,0,0,0,2
branlily,4,0,1,1,0
branlily,1,0,0,1,4
branlily,0,0,0,1,5
branlily,1,0,4,0,1
branlily,0,0,1,1,4
branlily,2,0,3,1,0
branlily,0,0,0,5,1
